channel_id,direction,direction2,entry_points,entry_type,message_age_hours,message_id,raw_message,stop_loss,symbol,timestamp,tp1,tp2,tp3,tp4
-1001552516320,SELL,SELL,"[0.817, 0.823]",limit,3.509362045,10323,"USDCHF SELL limit from 0.817 and SELL limit from 0.823
Tp1 @ 0.812 1
Tp2 @ 0.806 2
Tp3 @ 0.800 3
Tp4 @ 0.794 0
Sl    @ 0.829 ",0.829,USDCHF,2025-07-20T21:39:30+00:00,0.812,0.806,0.8,0.794
-1001552516320,BUY,BUY,"[0.792, 0.786]",limit,3.509362045,10322,"USDCHF BUY limit from 0.792 and BUY limit from 0.786
Tp1 @ 0.797 1
Tp2 @ 0.803 2
Tp3 @ 0.809 3
Tp4 @ 0.815 4
Sl    @ 0.780 ",0.78,USDCHF,2025-07-20T21:39:30+00:00,0.797,0.803,0.809,0.815
-1001552516320,SELL,SELL,"[148.9, 149.5]",limit,3.509362045,10321,"USDJPY SELL limit from 148.9 and SELL limit from 149.5
Tp1 @ 148.4 1
Tp2 @ 147.8 2
Tp3 @ 147.2 3
Tp4 @ 146.6 0
Sl    @ 150.1 ",150.1,USDJPY,2025-07-20T21:39:30+00:00,148.4,147.8,147.2,146.6
-1001552516320,SELL,SELL,"[1.375, 1.381]",limit,3.509362045,10320,"USDCAD SELL limit from 1.375 and SELL limit from 1.381
Tp1 @ 1.370 1
Tp2 @ 1.364 2
Tp3 @ 1.358 3
Tp4 @ 1.352 0
Sl    @ 1.387 ",1.387,USDCAD,2025-07-20T21:39:30+00:00,1.37,1.364,1.358,1.352
-1001552516320,SELL,SELL,"[0.604, 0.61]",limit,3.509362045,10319,"NZDUSD SELL limit from 0.604 and SELL limit from 0.610
Tp1 @ 0.599 1
Tp2 @ 0.593 2
Tp3 @ 0.587 3
Tp4 @ 0.581 0
Sl    @ 0.616 ",0.616,NZDUSD,2025-07-20T21:39:30+00:00,0.599,0.593,0.587,0.581
-1001552516320,BUY,,['market'],market,3.509362045,10318,"NZDCAD BUY Now and BUY limit from 0.811
Tp1 @ 0.822 1
Tp2 @ 0.828 2
Tp3 @ 0.834 3
Tp4 @ 0.840 4
Sl    @ 0.805 ",0.805,NZDCAD,2025-07-20T21:39:30+00:00,0.822,0.828,0.834,0.84
-1001552516320,BUY,,['market'],market,3.509362045,10317,"GBPUSD BUY Now and BUY limit from 1.335
Tp1 @ 1.346 1
Tp2 @ 1.352 2
Tp3 @ 1.358 3
Tp4 @ 1.364 4
Sl    @ 1.329 ",1.329,GBPUSD,2025-07-20T21:39:30+00:00,1.346,1.352,1.358,1.364
-1001552516320,SELL,SELL,"[2.264, 2.27]",limit,3.509639822777778,10316,"GBPNZD SELL limit from 2.264 and SELL limit from 2.270
Tp1 @ 2.259 1
Tp2 @ 2.253 2
Tp3 @ 2.247 3
Tp4 @ 2.241 0
Sl    @ 2.276 ",2.276,GBPNZD,2025-07-20T21:39:29+00:00,2.259,2.253,2.247,2.241
-1001552516320,BUY,BUY,"[199.1, 198.5]",limit,3.509639822777778,10315,"GBPJPY BUY limit from 199.1 and BUY limit from 198.5
Tp1 @ 199.6 1
Tp2 @ 200.2 2
Tp3 @ 200.8 3
Tp4 @ 201.4 4
Sl    @ 197.9 ",197.9,GBPJPY,2025-07-20T21:39:29+00:00,199.6,200.2,200.8,201.4
-1001552516320,BUY,BUY,"[1.065, 1.059]",limit,3.509639822777778,10314,"GBOCHF BUY limit from 1.065 and BUY limit from 1.059
Tp1 @ 1.070 1
Tp2 @ 1.076 2
Tp3 @ 1.082 3
Tp4 @ 1.088 4
Sl    @ 1.053 ",1.053,GBOCHF,2025-07-20T21:39:29+00:00,1.07,1.076,1.082,1.088
-1001552516320,SELL,SELL,"[1.855, 1.861]",limit,3.509639822777778,10313,"GBPCAD SELL limit from 1.855 and SELL limit from 1.861
Tp1 @ 1.850 1
Tp2 @ 1.844 2
Tp3 @ 1.838 3
Tp4 @ 1.832 0
Sl    @ 1.867 ",1.867,GBPCAD,2025-07-20T21:39:29+00:00,1.85,1.844,1.838,1.832
-1001552516320,SELL,SELL,"[2.078, 2.084]",limit,3.509639822777778,10312,"GBPAUD SELL limit from 2.078 and SELL limit from 2.084
Tp1 @ 2.073 1
Tp2 @ 2.067 2
Tp3 @ 2.061 3
Tp4 @ 2.055 0
Sl    @ 2.090 ",2.09,GBPAUD,2025-07-20T21:39:29+00:00,2.073,2.067,2.061,2.055
-1001552516320,BUY,,['market'],market,3.509639822777778,10311,"EURNZD BUY Now and BUY limit from 1.944
Tp1 @ 1.955 1
Tp2 @ 1.961 2
Tp3 @ 1 967 3
Tp4 @ 1.973 4
Sl    @ 1.938 ",1.938,EURNZD,2025-07-20T21:39:29+00:00,1.955,1.961,1.0,1.973
